fid,date,24hour,x,y,Ground_val,Satelite_val,Land_use,Road_density,Population,Temperature,Wind_dir,Wind_Velocity,Hygrometry,Atm_Pres
"69",2010-01-01,"0",-77.1248065991498,39.5284754397557,,,,,,,,,,
"70",2010-01-01,"0",-77.1158234463086,39.5284754397557,,,,,,,,,,
"71",2010-01-01,"0",-77.1068402934674,39.5284754397557,,,,,,,,,,
"72",2010-01-01,"0",-77.0978571406262,39.5284754397557,,,,,,,,,,
"73",2010-01-01,"0",-77.088873987785,39.5284754397557,,,,,,,,,,
"74",2010-01-01,"0",-77.0798908349438,39.5284754397557,,,,,,,,,,
"75",2010-01-01,"0",-77.0709076821026,39.5284754397557,,,,,,,,,,
"76",2010-01-01,"0",-77.0619245292614,39.5284754397557,,,,,,,,,,
"77",2010-01-01,"0",-77.0529413764202,39.5284754397557,,,,,,,,,,
"78",2010-01-01,"0",-77.043958223579,39.5284754397557,,,,,,,,,,
"79",2010-01-01,"0",-77.0349750707378,39.5284754397557,,,,,,,,,,
"80",2010-01-01,"0",-77.0259919178966,39.5284754397557,,,,,,,,,,
"81",2010-01-01,"0",-77.0170087650555,39.5284754397557,,,,,,,,,,
"82",2010-01-01,"0",-77.0080256122143,39.5284754397557,,,,,,,,,,
"83",2010-01-01,"0",-76.9990424593731,39.5284754397557,,,,,,,,,,
"84",2010-01-01,"0",-76.9900593065319,39.5284754397557,,,,,,,,,,
"85",2010-01-01,"0",-76.9810761536907,39.5284754397557,,,,,,,,,,
"86",2010-01-01,"0",-76.9720930008495,39.5284754397557,,,,,,,,,,
"87",2010-01-01,"0",-76.9631098480083,39.5284754397557,,,,,,,,,,
"88",2010-01-01,"0",-76.9541266951671,39.5284754397557,,,,,,,,,,
"89",2010-01-01,"0",-76.9451435423259,39.5284754397557,,,,,,,,,,
"90",2010-01-01,"0",-76.9361603894847,39.5284754397557,,,,,,,,,,
"91",2010-01-01,"0",-76.9271772366435,39.5284754397557,,,,,,,,,,
"92",2010-01-01,"0",-76.9181940838023,39.5284754397557,,,,,,,,,,
"93",2010-01-01,"0",-76.9092109309611,39.5284754397557,,,,,,,,,,
"94",2010-01-01,"0",-76.9002277781199,39.5284754397557,,,,,,,,,,
"95",2010-01-01,"0",-76.8912446252787,39.5284754397557,,,,,,,,,,
"96",2010-01-01,"0",-76.8822614724375,39.5284754397557,,,,,,,,,,
